tweet_id,favorite_count,retweet_count
795464331001561088,49299,23372
793286476301799424,24470,9088
798628517273620480,0,1963
789137962068021249,9665,2760
790277117346975746,12493,3144
793962221541933056,16740,4846
796125600683540480,4951,1791
793271401113350145,8658,2372
786709082849828864,18121,6050
793601777308463104,7942,1600
793500921481273345,10622,2354
798576900688019456,0,5795
793150605191548928,6144,1684
786286427768250368,7928,2796
788552643979468800,0,7095
796563435802726400,0,7184
776088319444877312,1816,147
784057939640352768,29526,10961
778748913645780993,6805,1283
775733305207554048,13709,3920
777684233540206592,11100,2888
780476555013349377,0,109
775085132600442880,15345,4640
775898661951791106,0,16474
776249906839351296,0,8954
777641927919427584,0,4159
778764940568104960,854,358
782021823840026624,0,6103
776477788987613185,8708,2717
776813020089548800,4815,1184
785927819176054784,11314,3148
781163403222056960,9712,2717
773704687002451968,6499,1594
785872687017132033,6651,1782
774639387460112384,6635,1697
786051337297522688,1416,154
772877495989305348,8432,3796
776218204058357768,29496,15548
783347506784731136,0,5462
781524693396357120,20578,5472
778383385161035776,5755,1081
774757898236878852,8491,1752
783085703974514689,8100,2164
773922284943896577,6312,1715
784517518371221505,8902,2495
780800785462489090,5429,1277
785170936622350336,11935,4762
779056095788752897,14588,4449
778650543019483137,5696,1474
773191612633579521,9847,4045
777189768882946048,14075,4241
773670353721753600,5278,1288
780092040432480260,0,2262
780192070812196864,8617,2204
776819012571455488,0,13449
784431430411685888,5677,1256
778774459159379968,0,9724
779834332596887552,18668,6914
785515384317313025,6078,1240
786036967502913536,0,6914
776201521193218049,9482,2476
785264754247995392,7209,1598
779377524342161408,8692,3064
780074436359819264,12029,4875
780496263422808064,0,3618
777885040357281792,6283,1601
780931614150983680,21421,7184
783839966405230592,29740,10649
782598640137187329,7725,1846
